step,mean_abs_attr
0,0.0027390092
1,0.0012374972
2,0.0010426668
3,0.0005991223
4,0.0003371438
5,0.00032987143
6,0.00026883878
7,0.0001832647
8,0.00012149497
9,6.137481e-05
10,3.373499e-05
11,3.259279e-05
12,3.579299e-05
13,3.880423e-05
14,3.540147e-05
15,2.8446837e-05
16,2.2352637e-05
17,1.8098715e-05
18,1.5349597e-05
19,1.3349377e-05
20,1.1927324e-05
21,1.0555783e-05
22,8.927333e-06
23,7.4127047e-06
24,6.204423e-06
25,5.242353e-06
26,4.462739e-06
27,3.8108979e-06
28,3.2283926e-06
29,2.7177352e-06
30,2.2866673e-06
31,1.9421582e-06
32,1.6736388e-06
33,1.4703962e-06
34,1.2967973e-06
35,1.1911951e-06
36,1.117759e-06
37,1.0426847e-06
38,9.764065e-07
39,9.005547e-07
40,8.323802e-07
41,7.6309186e-07
42,6.8961583e-07
43,6.3296767e-07
44,5.793161e-07
45,5.2442067e-07
46,4.7149283e-07
47,4.2314883e-07
48,3.804474e-07
49,3.434922e-07
50,3.1073824e-07
51,2.8101942e-07
52,2.5337457e-07
53,2.2691059e-07
54,2.0268871e-07
55,1.8120507e-07
56,1.6193762e-07
57,1.4425734e-07
58,1.2908282e-07
59,1.1573055e-07
60,1.0365386e-07
61,9.348404e-08
62,8.387837e-08
63,7.509068e-08
64,6.723795e-08
65,5.9220763e-08
66,5.3220134e-08
67,4.7887273e-08
68,4.2849923e-08
69,3.822722e-08
70,3.4064815e-08
71,2.996728e-08
72,2.6194744e-08
73,2.4357911e-08
74,2.3285462e-08
75,2.2069774e-08
76,2.0755023e-08
77,1.8452855e-08
78,1.7039135e-08
79,1.6496786e-08
80,1.5612423e-08
81,1.4672835e-08
82,1.3216247e-08
83,1.138529e-08
84,9.756526e-09
85,8.942862e-09
86,8.645943e-09
87,8.231023e-09
88,7.519479e-09
89,6.880705e-09
90,6.3110255e-09
91,5.7737117e-09
92,5.3034364e-09
93,4.960811e-09
94,4.5539656e-09
95,4.1372097e-09
96,3.796313e-09
97,3.621946e-09
98,3.4273537e-09
99,3.2144811e-09
100,3.0926999e-09
101,2.9656682e-09
102,2.777502e-09
103,2.5869773e-09
104,2.4245712e-09
105,2.2765239e-09
106,2.148997e-09
107,2.0460396e-09
108,1.9675972e-09
109,1.9491304e-09
110,1.9029547e-09
111,1.8189832e-09
112,1.7391886e-09
113,1.6142783e-09
114,1.5165208e-09
115,1.4464232e-09
116,1.3992223e-09
117,1.334967e-09
118,1.2393737e-09
119,1.1388205e-09
120,1.0584716e-09
121,9.918761e-10
122,9.384473e-10
123,8.935982e-10
124,8.479775e-10
125,8.0185947e-10
126,7.567901e-10
127,7.117829e-10
128,6.5994166e-10
129,5.9803695e-10
130,5.382994e-10
131,4.845949e-10
132,4.374378e-10
133,3.9991915e-10
134,3.6671594e-10
135,3.3499667e-10
136,3.0395647e-10
137,2.755116e-10
138,2.4840707e-10
139,2.2261995e-10
140,1.9866182e-10
141,1.76758e-10
142,1.5677801e-10
143,1.3852655e-10
144,1.2215047e-10
145,1.0764142e-10
146,9.472543e-11
147,8.3149876e-11
148,7.3008245e-11
149,6.4101e-11
150,5.6232193e-11
151,4.9363992e-11
152,4.3356974e-11
153,3.8019227e-11
154,3.3669307e-11
155,2.9606533e-11
156,2.5826844e-11
157,2.2743545e-11
158,1.9966109e-11
159,1.7566126e-11
160,1.5635456e-11
161,1.3852501e-11
162,1.2241527e-11
163,1.0592396e-11
164,9.0969185e-12
165,7.939648e-12
166,6.9441896e-12
167,6.0563277e-12
168,5.3175723e-12
169,4.769968e-12
170,4.35271e-12
171,3.9545142e-12
172,3.6176242e-12
173,3.2242728e-12
174,2.8874763e-12
175,2.6023437e-12
176,2.3400943e-12
177,2.0991646e-12
178,1.8885043e-12
179,1.6706344e-12
180,1.463952e-12
181,1.356565e-12
182,1.2741506e-12
183,1.1715099e-12
184,1.079206e-12
185,9.982203e-13
186,9.177524e-13
187,8.37096e-13
188,7.670701e-13
189,7.148131e-13
190,6.487911e-13
191,5.8502075e-13
192,5.3286656e-13
193,5.039813e-13
194,4.727925e-13
195,4.4406224e-13
196,4.239062e-13
197,4.0231485e-13
198,3.7416598e-13
199,3.473515e-13
200,3.259031e-13
201,3.0598012e-13
202,2.8684794e-13
203,2.6964192e-13
204,2.528166e-13
205,2.3714413e-13
206,2.2219273e-13
207,2.0870942e-13
208,1.961111e-13
209,1.8128917e-13
210,1.6816694e-13
211,1.5562225e-13
212,1.4420618e-13
213,1.3201922e-13
214,1.2071949e-13
215,1.11066504e-13
216,1.0314671e-13
217,9.565469e-14
218,8.869702e-14
219,8.2017204e-14
220,7.553858e-14
221,6.96207e-14
222,6.460461e-14
223,6.008574e-14
224,5.5607933e-14
225,5.124365e-14
226,4.7152413e-14
227,4.343455e-14
228,4.0011055e-14
229,3.6825635e-14
230,3.3798966e-14
231,3.098722e-14
232,2.8319337e-14
233,2.609656e-14
234,2.4055212e-14
235,2.2088222e-14
236,2.0132086e-14
237,1.8345677e-14
238,1.6694918e-14
239,1.5156025e-14
240,1.3744232e-14
241,1.2448231e-14
242,1.125444e-14
243,1.0162399e-14
244,9.175747e-15
245,8.289869e-15
246,7.474669e-15
247,6.723622e-15
248,6.0539647e-15
249,5.4290695e-15
250,4.8829544e-15
251,4.3914643e-15
252,3.9339374e-15
253,3.5493431e-15
254,3.1912792e-15
255,2.8632272e-15
256,2.5731976e-15
257,2.284995e-15
258,2.053027e-15
259,1.832036e-15
260,1.6375573e-15
261,1.4583428e-15
262,1.2888735e-15
263,1.1384185e-15
264,1.0023634e-15
265,9.230622e-16
266,8.504702e-16
267,7.809791e-16
268,7.1757217e-16
269,6.3513146e-16
270,5.672997e-16
271,5.1462974e-16
272,4.7406724e-16
273,4.3012087e-16
274,3.8388333e-16
275,3.3743762e-16
276,2.945026e-16
277,2.6522568e-16
278,2.4168264e-16
279,2.238552e-16
280,2.0427908e-16
281,1.864923e-16
282,1.7064156e-16
283,1.561603e-16
284,1.4359232e-16
285,1.3030371e-16
286,1.179514e-16
287,1.0611903e-16
288,9.551897e-17
289,9.037817e-17
290,8.6161065e-17
291,8.260966e-17
292,7.9184114e-17
293,7.5754405e-17
294,7.159348e-17
295,6.7086134e-17
296,6.29456e-17
297,5.9054376e-17
298,5.5417306e-17
299,5.1915556e-17
300,4.8716544e-17
301,4.5967217e-17
302,4.387061e-17
303,4.2465884e-17
