step,mean_abs_attr
0,3.8394027e-10
1,4.1925463e-10
2,4.4668366e-10
3,3.812531e-10
4,2.3952546e-10
5,2.8943095e-10
6,3.6977765e-10
7,4.5712908e-10
8,4.487583e-10
9,3.6824474e-10
10,3.080877e-10
11,3.4793443e-10
12,4.3420076e-10
13,5.081889e-10
14,4.4774323e-10
15,3.8489337e-10
16,4.538372e-10
17,5.859119e-10
18,6.96133e-10
19,5.701278e-10
20,3.9314313e-10
21,5.2115534e-10
22,6.065738e-10
23,7.4618434e-10
24,6.577956e-10
25,4.726651e-10
26,5.149768e-10
27,6.261032e-10
28,8.159155e-10
29,7.9113854e-10
30,5.7888255e-10
31,5.251068e-10
32,6.5410943e-10
33,8.430415e-10
34,8.5440444e-10
35,6.1687616e-10
36,4.577109e-10
37,6.5794653e-10
38,9.0622454e-10
39,9.9195e-10
40,7.4876716e-10
41,4.55533e-10
42,6.4814865e-10
43,8.7388174e-10
44,1.0397196e-09
45,8.6224183e-10
46,5.602425e-10
47,6.3960737e-10
48,8.938561e-10
49,1.1264227e-09
50,1.0308443e-09
51,6.9949857e-10
52,6.323716e-10
53,9.096864e-10
54,1.1510867e-09
55,1.1412897e-09
56,8.059834e-10
57,5.6700766e-10
58,8.90161e-10
59,1.1694739e-09
60,1.2673206e-09
61,9.577583e-10
62,5.376929e-10
63,9.0090096e-10
64,1.2237814e-09
65,1.3982876e-09
66,1.1142934e-09
67,6.534445e-10
68,8.0881846e-10
69,1.1047584e-09
70,1.3409795e-09
71,1.203236e-09
72,7.7995466e-10
73,7.5673307e-10
74,1.124015e-09
75,1.4226036e-09
76,1.5029418e-09
77,1.0668187e-09
78,7.8820583e-10
79,1.1829073e-09
80,1.4045867e-09
81,1.531002e-09
82,1.1920781e-09
83,8.1424584e-10
84,1.0644764e-09
85,1.1700185e-09
86,1.490793e-09
87,1.3478151e-09
88,9.87513e-10
89,1.132054e-09
90,1.2513129e-09
91,1.6058364e-09
92,1.5502002e-09
93,1.1367945e-09
94,1.0580643e-09
95,1.2275397e-09
96,1.5468814e-09
97,1.689058e-09
98,1.2863662e-09
99,1.033806e-09
100,1.5138006e-09
