step,mean_abs_attr
0,1.9580823e-11
1,1.767032e-11
2,1.3514055e-11
3,1.4027031e-11
4,2.2493084e-11
5,2.6577063e-11
6,2.60195e-11
7,2.2811033e-11
8,1.7853963e-11
9,1.3603287e-11
10,1.9726018e-11
11,3.091843e-11
12,3.972271e-11
13,4.5047348e-11
14,4.535059e-11
15,4.035942e-11
16,3.5416104e-11
17,3.537467e-11
18,2.7627354e-11
19,3.4175322e-11
20,4.9410365e-11
21,5.872275e-11
22,6.066565e-11
23,5.4553233e-11
24,4.0637785e-11
25,2.5756e-11
26,4.089426e-11
27,6.482839e-11
28,8.221533e-11
29,9.150024e-11
30,9.1780646e-11
31,8.301129e-11
32,7.0541975e-11
33,5.6244454e-11
34,3.560843e-11
35,5.7776194e-11
36,8.945823e-11
37,1.1042732e-10
38,1.1295502e-10
39,1.0306568e-10
40,7.943089e-11
41,4.6563493e-11
42,4.6490027e-11
43,8.651057e-11
44,1.1589059e-10
45,1.3563832e-10
46,1.4157141e-10
47,1.2984495e-10
48,1.0818731e-10
49,8.102276e-11
50,4.980629e-11
51,8.803585e-11
52,1.3124372e-10
53,1.5964122e-10
54,1.6133476e-10
55,1.4598857e-10
56,1.12951995e-10
57,6.889344e-11
58,6.372294e-11
59,1.15940514e-10
60,1.5288912e-10
61,1.7773608e-10
62,1.8450522e-10
63,1.6732263e-10
64,1.3809366e-10
65,9.9119525e-11
66,6.9110294e-11
67,1.249422e-10
68,1.7001663e-10
69,1.9265248e-10
70,1.8484961e-10
71,1.6103308e-10
72,1.2328988e-10
73,9.289413e-11
74,1.0017206e-10
75,1.6117271e-10
76,2.0578983e-10
77,2.2296158e-10
78,2.1466076e-10
79,1.8569646e-10
80,1.5217606e-10
81,1.3342652e-10
82,1.4332706e-10
83,1.9952717e-10
84,2.2350677e-10
85,2.2649319e-10
86,2.077919e-10
87,1.8396211e-10
88,1.6190108e-10
89,1.4837857e-10
90,1.7779908e-10
91,2.3413219e-10
92,2.645326e-10
93,2.7777453e-10
94,2.5964e-10
95,2.2031113e-10
96,1.804504e-10
97,1.5593135e-10
98,2.191731e-10
99,3.1170683e-10
100,3.8622683e-10
101,4.1230827e-10
102,3.982799e-10
103,3.4008268e-10
104,2.578287e-10
105,1.8857152e-10
106,3.2933162e-10
107,4.9242677e-10
108,6.1516164e-10
109,6.8344097e-10
110,6.5981276e-10
111,5.6658006e-10
112,4.2953854e-10
113,2.646599e-10
114,4.7581455e-10
115,7.233979e-10
116,8.894627e-10
117,9.2393837e-10
118,8.47343e-10
119,6.881958e-10
120,4.668195e-10
121,3.1250358e-10
122,5.779357e-10
123,8.401669e-10
124,1.0057241e-09
125,1.0499159e-09
126,9.611223e-10
127,7.9862633e-10
128,5.5706384e-10
129,3.346245e-10
130,6.265991e-10
131,9.218297e-10
132,1.1109803e-09
133,1.1551231e-09
134,1.056216e-09
135,8.5759816e-10
136,5.707194e-10
137,3.7654851e-10
138,7.067926e-10
139,1.0288744e-09
140,1.2430503e-09
141,1.305987e-09
142,1.199677e-09
143,9.824606e-10
144,6.78132e-10
145,4.3603382e-10
146,8.2507173e-10
147,1.1973116e-09
148,1.4368533e-09
149,1.4826094e-09
150,1.3465822e-09
151,1.0839458e-09
152,7.2813766e-10
153,5.124721e-10
154,9.858591e-10
155,1.3847676e-09
156,1.6199786e-09
157,1.6706423e-09
158,1.512556e-09
159,1.2211785e-09
160,8.8941077e-10
161,6.964682e-10
162,1.2277266e-09
163,1.6098445e-09
164,1.7956958e-09
165,1.7344327e-09
166,1.4886379e-09
167,1.1504178e-09
168,8.814148e-10
169,8.140081e-10
170,1.3484804e-09
171,1.7487395e-09
172,1.9894175e-09
173,1.905143e-09
174,1.6322209e-09
175,1.2960325e-09
176,1.0402014e-09
177,1.0793607e-09
178,1.5794026e-09
179,1.834283e-09
180,1.8303468e-09
181,1.7363486e-09
182,1.5089754e-09
183,1.3100061e-09
184,1.2697063e-09
185,1.5140905e-09
186,2.0115647e-09
187,2.3057043e-09
188,2.384499e-09
189,2.2329698e-09
190,1.876077e-09
191,1.5594429e-09
192,1.3792057e-09
193,1.9679844e-09
194,2.7955505e-09
195,3.329261e-09
196,3.5265348e-09
197,3.3754823e-09
198,2.8306224e-09
199,2.2033706e-09
200,1.8206971e-09
201,2.8619764e-09
202,4.160906e-09
203,5.1651887e-09
204,5.584732e-09
205,5.3229856e-09
206,4.466016e-09
207,3.2852943e-09
208,2.1350066e-09
209,3.9405466e-09
210,5.9924234e-09
211,7.3238717e-09
212,7.667996e-09
213,6.901195e-09
214,5.428258e-09
215,3.707358e-09
216,2.7143348e-09
217,4.835587e-09
218,6.9364483e-09
219,8.264182e-09
220,8.588661e-09
221,7.8137745e-09
222,6.308074e-09
223,4.262768e-09
224,2.9773972e-09
225,5.5526903e-09
226,7.927465e-09
227,9.40602e-09
228,9.672696e-09
