model,window,rmse_kwh,mae_kwh,r2,wia
single,1,11.415345014288041,5.821602597772629,0.8680443304502835,0.9640248827750126
single,4,10.028420193833016,5.222864351143475,0.8981690202256206,0.9721952116508654
single,8,8.636858542491,4.411439053811174,0.9244749003699458,0.9800104950354221
single,16,9.001866778363073,5.308841651492825,0.9179630814768692,0.9790689871078491
single,24,9.041265886565638,4.811498221945603,0.9172569878259784,0.978491373514119
single,48,9.07265705850862,4.7331336057702424,0.9167156359352937,0.9791291155262462
single,64,8.692376341339243,4.472787968281114,0.9235723217496685,0.9800517107672474
single,96,8.187367146499094,4.282084709344404,0.9322362607012815,0.9818005726984467
single,672,8.8512578344737,4.49451030183113,0.9214993860670128,0.978302211004406
double,1,11.497694766130236,5.742666258785792,0.8661336195794211,0.9651948819186361
double,4,9.760453510415386,4.939817281656791,0.9035383089096671,0.9741931899174846
double,8,8.785410418756346,4.45653162510773,0.921854530789781,0.9795162992010029
double,16,8.374930456579659,4.268899490137843,0.9289921120674111,0.9812786135457255
double,24,8.868159331302717,4.8180571797489185,0.9203950966969869,0.9793553844325893
double,48,8.498960141375447,4.670360560850191,0.9269153672935814,0.9809110778012543
double,64,8.774803028222292,4.429876115201776,0.9221159768193301,0.9798123206339723
double,96,8.869470325441274,4.481978574344409,0.9204749041518729,0.9798101281921543
double,672,8.713933564407123,4.707138723468915,0.9239163115200134,0.9801013911873389
bidir,1,11.343105208492924,5.571064608819668,0.8697091578890668,0.9637006619729948
bidir,4,10.288863452596107,5.386919323490965,0.8928111320966792,0.9709300127484436
bidir,8,9.326755888215835,5.454793437190588,0.9119273804882638,0.9781574353640119
bidir,16,8.720022468990953,4.691804406217568,0.923019738116596,0.9791495854561119
bidir,24,8.789670692940675,4.894749392666592,0.921797965221669,0.9794188632260037
bidir,48,8.566513852533815,4.496928569962695,0.9257489282404668,0.9804151253381351
bidir,64,8.94316133915027,5.090606503074315,0.9190986523940823,0.9788500798278341
bidir,96,8.408039329676209,4.407863232017744,0.9285341933381055,0.9806041254499037
bidir,672,8.576239957957686,4.503277709357189,0.9263017938093356,0.9808353537606037
