track,stack,window,rmse_kwh,mae_kwh,r2,wia,top1_feature,top1_value,top2_feature,top3_feature,usage_kwh_rank1,recency_ratio,start_ratio,mid_ratio,u_shape_score,peak_step,ig_pattern,erasure_baseline_rmse,delta_25,delta_50,delta_75,total_sensitivity,max_delta,top_faithful_feature,usage_kwh_max_delta,is_best_track
hourly,single,1,14.414370380179273,9.19079238750832,0.7638769900123701,0.9363233884311652,Usage_kWh,0.1018733967527202,Lagging_Current_Reactive.Power_kVarh,WeekStatus,True,0.0,1.0,0.0,49.99999999999999,0,u_shaped,14.414370380179273,0.0,0.0,0.0,0.0,11.08974496650828,Usage_kWh,11.08974496650828,False
hourly,single,4,11.660092904492862,7.338336744149705,0.8454919974719683,0.960677843999961,Usage_kWh,0.063301133241636,WeekStatus,Load_Type,True,0.36936536396196273,0.11401785998213186,0.5166167760559055,0.935670784124489,3,flat,11.660092904492862,1.5123656515718817,5.0584010488610485,6.684540984062378,6.684540984062378,8.734886839701064,Usage_kWh,8.734886839701064,False
hourly,single,8,9.629817814824769,5.653119407304668,0.8946442282929397,0.9719834725215856,Usage_kWh,0.0590781699431234,Load_Type,NSM,True,0.49600609999740797,0.19744876437708953,0.30654513562550256,2.262162349957076,7,mixed,9.629817814824769,5.740839412571047,6.838906368298343,9.218025638424908,9.218025638424908,11.68283337140873,Usage_kWh,11.68283337140873,False
hourly,single,12,10.249701256824473,5.569919137843734,0.8807156524425458,0.968166588602676,Usage_kWh,0.0565153746241062,NSM,Lagging_Current_Reactive.Power_kVarh,True,0.696300094436405,0.05751911767811409,0.24618078788548103,3.0620554048481736,11,mixed,10.249701256824473,3.604394213540761,4.7276745032591165,9.498737212882727,9.498737212882727,12.459472160183305,Usage_kWh,12.459472160183305,False
hourly,single,16,9.242462490106345,5.068827573750311,0.9030405154996152,0.9753350080357436,Lagging_Current_Reactive.Power_kVarh,990220070742.6764,Lagging_Current_Power_Factor,Usage_kWh,False,0.7308241006405823,0.051382071725855766,0.21779382763356192,3.5914983489913217,15,mixed,9.242462490106345,1.7827521061567868,5.88675063714134,9.209214777355907,9.209214777355907,0.6870911037199665,Lagging_Current_Reactive.Power_kVarh,,False
hourly,single,24,9.57143389085318,5.294766027686167,0.8960557510556665,0.9725038660145996,Usage_kWh,0.0521253623080792,Load_Type,NSM,True,0.6510392021080896,0.06302006191323911,0.2859407359786712,2.4972281811381767,23,recency_dominant,9.57143389085318,1.840101462788395,1.8582353831609044,4.341512011800068,4.341512011800068,11.773522507298903,Usage_kWh,11.773522507298903,False
hourly,single,36,9.191873998002103,5.165772592502579,0.9042133990051192,0.9747877655678896,Usage_kWh,0.0926941638780855,NSM,Lagging_Current_Power_Factor,True,0.7663870251227772,0.04411072076716539,0.18950225411005733,4.2769820849689175,35,mixed,9.191873998002103,0.05253432250261625,0.27943873401221886,2.926518459692339,2.926518459692339,11.094895885664409,Usage_kWh,11.094895885664409,False
hourly,single,48,9.511611870584224,5.327387128267687,0.8975412383964687,0.972475915351442,Usage_kWh,0.109846446869082,NSM,Leading_Current_Power_Factor,True,0.8140834617419553,0.026341022787415493,0.15957551547062923,5.266625534943396,47,mixed,9.511611870584224,-0.020582065785514914,-0.19068732046991244,1.5846862581301249,1.5846862581301249,9.786013628992578,Usage_kWh,9.786013628992578,False
hourly,single,74,9.048687968393734,4.929662384845011,0.9074113513895156,0.9758010994767788,Lagging_Current_Power_Factor,50931437462740.5,Lagging_Current_Reactive.Power_kVarh,Usage_kWh,False,0.9246323698950731,0.0029427200859189306,0.0724249100190077,12.807404106371038,73,mixed,9.048687968393734,-0.005454052364706641,-0.03011993974581806,0.11527608059727612,0.11527608059727612,1.5129443181138331,Lagging_Current_Power_Factor,,False
hourly,single,168,9.051275512277744,5.285299075493047,0.907812667371112,0.9758163023035016,Lagging_Current_Power_Factor,0.1548423373937914,NSM,Lagging_Current_Reactive.Power_kVarh,False,0.9965925872687204,6.585424195072612e-07,0.003406754188860274,49.82966229055699,167,mixed,9.051275512277744,1.183358444123428e-06,1.2488522013853753e-05,-0.027144652754191867,-0.027144652754191867,6.485826254510004,NSM,,False
hourly,single,336,9.758175395352117,5.437344297236845,0.8914064317760918,0.9724669968270876,Leading_Current_Power_Factor,0.0856418377935029,NSM,Usage_kWh,False,0.9997973766346288,6.40860655931162e-10,0.00020262272451068114,49.98986886377447,335,mixed,9.758175395352117,1.4993873698188054e-07,5.2628351454586664e-08,0.00035152198197963003,0.00035152198197963003,4.6545392283812514,NSM,,False
hourly,single,672,10.897388047059229,6.095394962201751,0.8631851642770644,0.9616617037296372,Lagging_Current_Reactive.Power_kVarh,10744925829411.69,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,False,0.9999998566999876,6.216271227213341e-19,1.4330001246049267e-07,49.999992834999375,671,mixed,10.897388047059229,8.712082788520092e-08,1.4169375184280852e-07,6.217977954747766e-08,6.217977954747766e-08,0.4762125398747194,Lagging_Current_Reactive.Power_kVarh,,False
hourly,double,1,13.733635354560748,8.329597623076483,0.7856527180600256,0.9407924892404436,Usage_kWh,0.081362241841203,WeekStatus,Load_Type,True,0.0,1.0,0.0,50.0,0,u_shaped,13.733635354560748,0.0,0.0,0.0,0.0,11.177769046251608,Usage_kWh,11.177769046251608,False
hourly,double,4,9.868601784954436,5.508820400874833,0.8893227891480101,0.9705365054800876,Usage_kWh,0.0554401992652164,WeekStatus,NSM,True,0.37248649901571396,0.1351398847752414,0.4923736162090447,1.0309780359462535,3,flat,9.868601784954436,5.693064151972056,6.811380280874921,9.553824439216594,9.553824439216594,12.42839565789714,Usage_kWh,12.42839565789714,False
hourly,double,8,9.999830266993492,5.432855441918772,0.8863923836233331,0.9706540873849684,Usage_kWh,0.0360862545363985,Load_Type,WeekStatus,True,0.5209036843820555,0.17111250130335384,0.30798381431459054,2.2469238756116856,7,mixed,9.999830266993492,4.595314003567653,5.7268046511676065,7.54004441027622,7.54004441027622,10.652743503566482,Usage_kWh,10.652743503566482,False
hourly,double,12,10.401412810387203,5.581850780200745,0.8771583303800263,0.9699591303165318,Usage_kWh,0.050390240739075,Lagging_Current_Reactive.Power_kVarh,Load_Type,True,0.5280483703148159,0.13665491701588578,0.33529671266929845,1.9824330576908915,11,mixed,10.401412810387203,5.91505802111196,7.997888482641407,7.5878285405106425,7.5878285405106425,11.832400923710088,Usage_kWh,11.832400923710088,False
