lag,mean_abs_attr
0,1.8903876e-10
1,2.1068472e-10
2,2.2948461e-10
3,2.4386254e-10
4,2.54124e-10
5,2.8396985e-10
6,3.2018654e-10
7,3.5206385e-10
8,3.9934078e-10
9,4.6488813e-10
10,5.55922e-10
11,6.581641e-10
12,7.904696e-10
13,9.561477e-10
14,1.120055e-09
15,1.2692307e-09
16,1.38939e-09
17,1.4979301e-09
18,1.6023212e-09
19,1.6907638e-09
20,1.7678173e-09
21,1.7810754e-09
22,1.7478495e-09
23,1.707618e-09
24,1.7950457e-09
25,2.000482e-09
26,2.2515958e-09
27,2.5545013e-09
28,2.9062495e-09
29,3.3344443e-09
30,3.8587933e-09
31,4.483756e-09
32,5.326643e-09
33,6.194166e-09
34,7.1904687e-09
35,7.970243e-09
36,8.52758e-09
37,8.715478e-09
38,8.653336e-09
39,8.22743e-09
40,7.865413e-09
41,7.710521e-09
42,7.823913e-09
43,8.479719e-09
44,9.768504e-09
45,1.1706048e-08
46,1.4142385e-08
47,1.6668103e-08
48,1.9837643e-08
49,2.2403153e-08
50,2.5570397e-08
51,2.9101724e-08
52,3.2655052e-08
53,3.708364e-08
54,3.977613e-08
55,4.2105807e-08
56,4.3520494e-08
57,4.4508717e-08
58,4.549214e-08
59,4.611372e-08
60,4.4895494e-08
61,4.198404e-08
62,4.0424762e-08
63,4.600566e-08
64,5.787419e-08
65,7.346737e-08
66,9.101568e-08
67,1.092183e-07
68,1.2791551e-07
69,1.4443516e-07
70,1.5682093e-07
71,1.753153e-07
72,1.9657395e-07
73,2.1272444e-07
74,2.2774904e-07
75,2.3164856e-07
76,2.2458e-07
77,2.23878e-07
78,2.2801287e-07
79,2.4877744e-07
80,2.8078722e-07
81,3.113746e-07
82,3.535763e-07
83,4.0688778e-07
84,4.7287844e-07
85,5.457545e-07
86,6.217561e-07
87,7.115601e-07
88,7.992659e-07
89,8.819126e-07
90,9.658758e-07
91,1.0420302e-06
92,1.112035e-06
93,1.1360806e-06
94,1.1230849e-06
95,1.0897004e-06
96,1.0915207e-06
97,1.2234607e-06
98,1.469904e-06
99,1.7289515e-06
100,1.9652978e-06
101,2.2747636e-06
102,2.6296939e-06
103,3.03756e-06
104,3.640412e-06
105,4.2905826e-06
106,4.862381e-06
107,5.267481e-06
108,5.4541388e-06
109,5.441777e-06
110,5.2080622e-06
111,4.953711e-06
112,4.871667e-06
113,5.127179e-06
114,5.4753823e-06
115,5.831692e-06
116,6.7012115e-06
117,8.301432e-06
118,9.9744275e-06
119,1.2042766e-05
120,1.4559408e-05
121,1.693776e-05
122,1.9389061e-05
123,2.051004e-05
124,2.194825e-05
125,2.3955921e-05
126,2.5454185e-05
127,2.692083e-05
128,2.8766468e-05
129,3.1246207e-05
130,3.345851e-05
131,3.5387893e-05
132,3.735237e-05
133,4.0866555e-05
134,4.2639113e-05
135,4.9072107e-05
136,5.5690838e-05
137,6.650606e-05
138,7.89255e-05
139,8.988088e-05
140,0.000104825376
141,0.00012887354
142,0.00015730804
143,0.00018393407
144,0.00019832444
145,0.00019594857
146,0.00018016991
147,0.00015691605
148,0.00015507088
149,0.00017184748
150,0.00022081034
151,0.00030588533
152,0.00038845927
153,0.00044156675
154,0.00047439817
155,0.0005323454
156,0.0006180947
157,0.00069207477
158,0.0008119425
159,0.0011454826
160,0.0015692062
161,0.0017581054
162,0.001734298
163,0.0013224185
164,0.0010816827
165,0.0017118305
166,0.0039779665
167,0.017103638
