lag,mean_abs_attr
0,5.6667487e-11
1,4.204338e-11
2,3.5083575e-11
3,3.656179e-11
4,4.1425995e-11
5,4.8811073e-11
6,6.5228566e-11
7,8.1637266e-11
8,9.5331666e-11
9,1.0695765e-10
10,1.217571e-10
11,1.3831383e-10
12,1.6378461e-10
13,1.8940376e-10
14,2.0893842e-10
15,2.2672715e-10
16,2.38696e-10
17,2.477077e-10
18,2.555373e-10
19,2.607247e-10
20,2.7406072e-10
21,2.7866232e-10
22,2.9523523e-10
23,3.1497244e-10
24,3.649526e-10
25,4.1486037e-10
26,4.558657e-10
27,5.266611e-10
28,6.083745e-10
29,6.9504635e-10
30,7.79801e-10
31,8.7017665e-10
32,9.561779e-10
33,1.0234298e-09
34,1.1911057e-09
35,1.3347268e-09
36,1.5317372e-09
37,1.6879534e-09
38,1.9358009e-09
39,1.963814e-09
40,2.182893e-09
41,2.2783326e-09
42,2.3763131e-09
43,2.5372429e-09
44,2.7293208e-09
45,3.0017744e-09
46,3.2838305e-09
47,3.6546883e-09
48,4.1226658e-09
49,4.5809356e-09
50,5.2116818e-09
51,5.9702527e-09
52,6.745961e-09
53,7.670904e-09
54,8.258676e-09
55,9.167417e-09
56,1.0347678e-08
57,1.2282489e-08
58,1.3891372e-08
59,1.6449414e-08
60,1.847963e-08
61,2.0423766e-08
62,2.1406295e-08
63,2.2744402e-08
64,2.381617e-08
65,2.5428482e-08
66,2.792759e-08
67,3.113922e-08
68,3.410948e-08
69,3.6450068e-08
70,3.716859e-08
71,3.994596e-08
72,4.5354977e-08
73,5.1265772e-08
74,5.9431024e-08
75,6.804121e-08
76,7.92567e-08
77,9.414354e-08
78,1.0923439e-07
79,1.2516021e-07
80,1.423408e-07
81,1.5539305e-07
82,1.7153542e-07
83,1.8000611e-07
84,1.9267243e-07
85,1.9476428e-07
86,1.9876241e-07
87,2.1625803e-07
88,2.4326928e-07
89,2.7896974e-07
90,3.1689095e-07
91,3.5224488e-07
92,3.7833848e-07
93,3.8495008e-07
94,4.069637e-07
95,4.6478917e-07
96,5.41902e-07
97,6.764747e-07
98,8.1261635e-07
99,9.691046e-07
100,1.1162626e-06
101,1.3269926e-06
102,1.4763775e-06
103,1.6188312e-06
104,1.7507215e-06
105,1.8665114e-06
106,1.9224458e-06
107,2.054315e-06
108,2.200166e-06
109,2.3095072e-06
110,2.470024e-06
111,2.767086e-06
112,3.3713059e-06
113,3.847441e-06
114,4.2129022e-06
115,4.5855677e-06
116,5.123307e-06
117,5.451738e-06
118,5.7290504e-06
119,6.1837113e-06
120,6.826115e-06
121,7.894248e-06
122,8.8624165e-06
123,9.891107e-06
124,1.1462909e-05
125,1.2701947e-05
126,1.3554898e-05
127,1.3696839e-05
128,1.43277375e-05
129,1.7070479e-05
130,2.0146068e-05
131,2.4505318e-05
132,2.7476737e-05
133,3.0832976e-05
134,3.2457458e-05
135,3.688505e-05
136,4.4512846e-05
137,5.031482e-05
138,6.11389e-05
139,7.099033e-05
140,7.699608e-05
141,8.1116916e-05
142,8.904674e-05
143,0.00010577717
144,0.00012032899
145,0.00013770364
146,0.00016311984
147,0.00019473564
148,0.00021453606
149,0.00021291345
150,0.00020706649
151,0.00024442613
152,0.00029355104
153,0.00036920444
154,0.00035907724
155,0.0002835162
156,0.00035409204
157,0.0004872745
158,0.00065144466
159,0.0009735275
160,0.001182105
161,0.0013104661
162,0.0012958549
163,0.0013563847
164,0.0017339305
165,0.00225093
166,0.0033744548
167,0.018685764
