step,mean_abs_attr
0,7.892459e-05
1,8.572733e-05
2,8.9487e-05
3,9.2337184e-05
4,0.00010526413
5,0.00010599864
6,0.0001084337
7,0.00012238427
8,0.00015039922
9,0.00016222348
10,0.00016031813
11,0.00017061524
12,0.00018100168
13,0.00018747406
14,0.00020839759
15,0.00023215753
16,0.00027827552
17,0.0003192825
18,0.00036433002
19,0.00040660944
20,0.00043649753
21,0.0004517713
22,0.00047599035
23,0.000584457
24,0.0007893907
25,0.0009667423
26,0.0009630422
27,0.0008396179
28,0.0008484861
29,0.0011811735
30,0.001207307
31,0.001355191
32,0.0015752611
33,0.0020641251
34,0.0045546005
35,0.013829472
