step,mean_abs_attr
0,0.0016737944
1,0.00052243297
2,0.00039423816
3,0.000251957
4,0.00018201418
5,0.00014656827
6,0.00012599202
7,0.00012191087
8,0.00011295839
9,9.890493e-05
10,8.759812e-05
11,7.716374e-05
12,6.7011555e-05
13,5.825959e-05
14,5.0362014e-05
15,4.4026314e-05
16,3.892928e-05
17,3.4986115e-05
18,3.2295473e-05
19,3.0158708e-05
20,2.837654e-05
21,2.6625552e-05
22,2.4918802e-05
23,2.3393226e-05
24,2.2047057e-05
25,2.0548467e-05
26,1.9214904e-05
27,1.9770394e-05
28,2.2284812e-05
29,2.5034742e-05
30,2.8425002e-05
31,3.410464e-05
32,4.345801e-05
33,5.4707587e-05
34,6.791028e-05
35,8.354712e-05
36,0.00010190522
37,0.000121931385
38,0.00015577974
39,0.00018387132
40,0.0002362217
41,0.00027146825
42,0.00030149196
43,0.00033073197
44,0.00038935844
45,0.0005221488
46,0.0006118976
47,0.0006195199
48,0.0006159663
49,0.00049975334
50,0.00051677466
51,0.0006734758
52,0.00078850164
53,0.0008881142
54,0.00085890514
55,0.0008898753
56,0.00097140064
57,0.00080819416
58,0.0007571137
59,0.0008767983
60,0.0010778399
61,0.0017721457
62,0.004680547
63,0.015663171
