step,mean_abs_attr
0,8.617951e-05
1,6.240468e-05
2,6.433973e-05
3,0.000101117344
4,0.00011553406
5,0.00011132207
6,8.8738336e-05
7,6.321025e-05
8,7.982829e-05
9,9.276018e-05
10,9.667823e-05
11,8.79499e-05
12,6.545512e-05
13,5.3991756e-05
14,7.701611e-05
15,8.8547735e-05
16,9.1558846e-05
17,7.844093e-05
18,5.902377e-05
19,8.121701e-05
20,9.607662e-05
21,0.00010040515
22,9.4660296e-05
23,6.681918e-05
24,6.812921e-05
25,9.658566e-05
26,0.00010691036
27,0.000103499726
28,7.934696e-05
29,6.478296e-05
30,9.266422e-05
31,0.00010408733
32,0.000105826126
33,9.1802736e-05
34,6.074464e-05
35,6.682176e-05
36,9.5575604e-05
37,0.000103108076
38,9.571147e-05
39,6.9860485e-05
40,6.048225e-05
41,8.892098e-05
42,9.897592e-05
43,9.751106e-05
44,8.235531e-05
45,5.4256023e-05
46,6.254312e-05
47,8.830444e-05
48,9.2304035e-05
49,8.4571264e-05
50,6.0939597e-05
51,5.2969415e-05
52,7.496795e-05
53,8.152689e-05
54,8.006651e-05
55,6.834413e-05
56,4.7016652e-05
57,5.1467017e-05
58,7.31537e-05
59,7.6473014e-05
60,7.167365e-05
61,5.4079534e-05
62,4.8981525e-05
63,6.727496e-05
64,7.266808e-05
65,7.2592884e-05
66,6.160835e-05
67,4.26994e-05
68,5.0769915e-05
69,7.326078e-05
70,7.932217e-05
71,6.9989284e-05
72,5.107394e-05
73,5.140606e-05
74,6.2992855e-05
75,6.181464e-05
76,6.369995e-05
77,5.3139822e-05
78,4.042832e-05
79,5.826482e-05
80,7.824729e-05
81,8.064856e-05
82,6.677603e-05
83,4.6321813e-05
84,4.8453e-05
85,5.5883564e-05
86,5.0372393e-05
87,5.2857882e-05
88,4.6562767e-05
89,3.8663926e-05
90,5.0403447e-05
91,6.0033937e-05
92,5.851399e-05
93,4.6125755e-05
94,3.3576915e-05
95,3.8687558e-05
96,4.1416446e-05
97,4.1148745e-05
98,4.5454177e-05
99,3.820663e-05
100,3.0065949e-05
101,4.1203173e-05
102,5.264369e-05
103,5.3678745e-05
104,4.687008e-05
105,3.831956e-05
106,4.7120404e-05
107,5.4556655e-05
108,5.6525383e-05
109,5.915385e-05
110,4.5466797e-05
111,3.5765654e-05
112,5.5731332e-05
113,6.959362e-05
114,7.037686e-05
115,5.609286e-05
116,4.6004072e-05
117,6.3792046e-05
118,7.2039125e-05
119,7.5435775e-05
120,6.641764e-05
121,4.26006e-05
122,4.0604213e-05
123,6.1758765e-05
124,7.282283e-05
125,6.5621294e-05
126,4.5097324e-05
127,4.2206757e-05
128,6.1008177e-05
129,6.808851e-05
130,6.940505e-05
131,5.5149292e-05
132,3.3125412e-05
133,3.9179635e-05
134,5.6230365e-05
135,6.4244596e-05
136,5.4913613e-05
137,3.6395602e-05
138,3.8800295e-05
139,5.4888886e-05
140,5.9924303e-05
141,5.994875e-05
142,4.7689537e-05
143,2.9586527e-05
144,3.4882258e-05
145,4.9908984e-05
146,5.7733425e-05
147,5.1138362e-05
148,3.4031338e-05
149,3.3873068e-05
150,4.8123213e-05
151,5.2471507e-05
152,5.341584e-05
153,4.361561e-05
154,2.8357385e-05
155,3.2156524e-05
156,4.7023485e-05
157,5.512435e-05
158,5.0572282e-05
159,3.657481e-05
160,3.682419e-05
161,4.9230155e-05
162,5.4493215e-05
163,5.7507983e-05
164,4.7909838e-05
165,2.9641655e-05
166,3.2854983e-05
167,4.806278e-05
168,5.3410575e-05
169,4.4581568e-05
170,3.4196775e-05
171,3.9737402e-05
172,4.8366714e-05
173,5.2498974e-05
174,5.648966e-05
175,4.5813893e-05
176,2.7451122e-05
177,3.6910387e-05
178,5.2943215e-05
179,5.3118e-05
180,3.854846e-05
181,3.1072497e-05
182,4.0203016e-05
183,4.3654152e-05
184,4.384394e-05
185,4.66279e-05
186,3.9039343e-05
187,2.670244e-05
188,3.5289704e-05
189,4.643634e-05
190,4.4266642e-05
191,3.2728833e-05
192,2.7601884e-05
193,3.6895486e-05
194,4.2274893e-05
195,4.496235e-05
196,4.871516e-05
197,4.2647876e-05
198,2.7169406e-05
199,3.6297235e-05
200,5.1924697e-05
201,5.414607e-05
202,4.4275243e-05
203,3.44908e-05
204,4.2838677e-05
205,5.5527267e-05
206,6.321102e-05
207,6.664194e-05
208,5.253523e-05
209,3.0496241e-05
210,5.0203234e-05
211,7.289956e-05
212,7.6144875e-05
213,5.6007935e-05
214,3.640986e-05
215,5.8034086e-05
216,7.655926e-05
217,8.2041435e-05
218,7.7050296e-05
219,5.113458e-05
220,3.2796393e-05
221,5.5879296e-05
222,7.436356e-05
223,7.333291e-05
224,4.922582e-05
225,3.42071e-05
226,6.1604835e-05
227,7.8288795e-05
228,8.092636e-05
229,7.0339505e-05
230,4.1057378e-05
231,3.177845e-05
232,5.526595e-05
233,7.16944e-05
234,6.765148e-05
235,4.5978355e-05
