step,mean_abs_attr
0,7.507748e-06
1,8.412804e-06
2,8.717367e-06
3,8.773849e-06
4,9.758341e-06
5,1.1556893e-05
6,1.3902495e-05
7,1.6293354e-05
8,1.7906235e-05
9,1.98792e-05
10,2.1312411e-05
11,2.2690856e-05
12,2.6641133e-05
13,3.2576478e-05
14,3.8997296e-05
15,4.4916385e-05
16,4.9132417e-05
17,5.4990738e-05
18,6.290117e-05
19,6.983093e-05
20,7.922288e-05
21,9.40782e-05
22,0.00011497103
23,0.00013545052
24,0.00015282727
25,0.00017484857
26,0.00021064554
27,0.00026695288
28,0.00032995056
29,0.00040220717
30,0.00049830327
31,0.0006071761
32,0.00069917005
33,0.00072796334
34,0.0007269267
35,0.0008564604
36,0.0009270927
37,0.0010299027
38,0.0009283576
39,0.0006058957
40,0.00087345485
41,0.0011600421
42,0.0016646506
43,0.0019152106
44,0.0022847527
45,0.0031627356
46,0.004970423
47,0.017008465
