pc1,pc2,usage_kwh,hour,load_type
0.01045089,-0.363011,110.35750000000002,11.375,0.5
0.11524938,-0.41590756,39.80499999999999,12.374999999999998,0.5
0.2397119,-0.68011034,77.5,13.375,1.0
0.16481534,-0.69632494,110.72749999999999,14.374999999999998,1.0
0.13557592,-0.732304,122.19,15.374999999999998,1.0
-0.02463227,-0.7065241,124.7325,16.375,1.0
-0.21126789,-0.44877893,95.77,17.375,1.0
-0.43191454,-0.27914548,49.074999999999996,18.375,0.5
-0.78722954,-0.320607,37.915,19.374999999999996,0.5
-1.0957458,-0.16374072,27.027499999999993,20.375,0.5
-0.81067455,0.058253735,6.614999999999995,21.375,1.0
-0.7457398,-0.010745361,4.82249999999999,22.375,1.0
-0.7208055,-0.07680714,4.589999999999997,23.375,0.5
-0.7719838,-0.03462991,4.589999999999997,0.37499999999999983,0.0
-0.74565023,0.20452553,4.6149999999999896,1.3749999999999998,0.0
-0.6538418,0.51259923,4.6149999999999896,2.375,0.0
-0.4849968,0.85860634,4.632499999999993,3.375,0.0
-0.16776712,1.1487364,4.572499999999994,4.375,0.0
0.44167793,1.1778367,4.572499999999994,5.375,0.0
0.8382183,1.0156672,4.5975,6.375000000000001,0.0
0.87996364,0.63228,5.759999999999997,7.375,0.0
0.8275064,0.1169125,57.665,8.375,0.0
0.7282496,-0.13710144,103.8875,9.374999999999998,0.0
0.63199663,-0.50808436,63.6475,10.375000000000002,1.0
0.21768211,-0.2938378,69.9825,11.375,0.5
0.31970078,-0.30113173,25.417499999999997,12.374999999999998,0.5
0.39470673,-0.519307,41.875,13.375,1.0
0.2898058,-0.5973861,65.40999999999998,14.374999999999998,1.0
0.1490329,-0.62337494,64.4225,15.374999999999998,1.0
-0.07094704,-0.67723525,97.2825,16.375,1.0
-0.2598555,-0.45364565,121.3825,17.375,1.0
-0.5057639,-0.2113648,46.685,18.375,0.5
-0.8191278,-0.27228507,40.957499999999996,19.374999999999996,0.5
-1.0679322,-0.1579918,37.0875,20.375,0.5
-0.8172522,0.0769801,7.084999999999989,21.375,1.0
-0.70889765,0.0026925653,4.885000000000001,22.375,1.0
-0.6149126,-0.06640431,4.63499999999999,23.375,0.5
-0.6406934,-0.00030228496,4.632499999999993,0.37499999999999983,0.0
-0.60771084,0.2446535,4.6274999999999995,1.3749999999999998,0.0
-0.5219065,0.55317575,4.62499999999999,2.375,0.0
-0.35593846,0.88656175,4.644999999999989,3.375,0.0
0.014782842,1.1368963,4.642499999999992,4.375,0.0
0.6486467,1.1061435,4.617499999999986,5.375,0.0
0.9078965,0.93213195,4.607499999999999,6.375000000000001,0.0
0.9085959,0.52285725,5.399999999999988,7.375,0.0
0.85105145,0.0110838115,83.88000000000001,8.375,0.0
0.73556554,-0.210439,132.02,9.374999999999998,0.0
0.6934794,-0.6294049,115.435,10.375000000000002,1.0
0.21469979,-0.33682048,107.0275,11.375,0.5
0.35108548,-0.40982807,39.2675,12.374999999999998,0.5
0.43333307,-0.697583,81.6375,13.375,1.0
0.32891405,-0.76151997,120.39250000000001,14.374999999999998,1.0
0.23692088,-0.7956127,117.7225,15.374999999999998,1.0
-0.0033353064,-0.773822,117.8725,16.375,1.0
-0.21307322,-0.48214388,98.33500000000001,17.375,1.0
-0.44196162,-0.28097335,50.76999999999999,18.375,0.5
-0.69972944,-0.4364606,60.7875,19.374999999999996,0.5
-1.0666057,-0.24273506,57.91499999999999,20.375,0.5
-0.64562976,0.05081868,13.959999999999987,21.375,1.0
-0.6031826,-0.022773236,4.939999999999992,22.375,1.0
-0.54323375,-0.08371109,4.6699999999999955,23.375,0.5
-0.58968997,0.010681942,4.55499999999999,0.37499999999999983,0.0
-0.5643284,0.28231025,4.672499999999992,1.3749999999999998,0.0
-0.4903072,0.6065358,4.642499999999992,2.375,0.0
-0.33771598,0.9479445,4.63499999999999,3.375,0.0
0.030314716,1.2104883,4.637499999999999,4.375,0.0
0.7094573,1.1819296,4.62499999999999,5.375,0.0
1.0144482,0.98814595,4.62499999999999,6.375000000000001,0.0
1.0148143,0.54950297,5.372499999999998,7.375,0.0
0.914145,0.04579711,73.87,8.375,0.0
0.7606437,-0.1872794,116.6775,9.374999999999998,0.0
0.7425952,-0.57612145,117.57000000000001,10.375000000000002,1.0
0.29571217,-0.3142798,123.61500000000001,11.375,0.5
0.4414388,-0.37997305,30.744999999999997,12.374999999999998,0.5
0.50328726,-0.6840533,74.24249999999999,13.375,1.0
0.34784964,-0.7073149,90.39750000000001,14.374999999999998,1.0
0.2669054,-0.7996633,100.34,15.374999999999998,1.0
0.05239985,-0.78802586,123.895,16.375,1.0
-0.1310866,-0.49935073,93.67750000000001,17.375,1.0
-0.3225214,-0.3549397,61.69500000000001,18.375,0.5
-0.59671485,-0.391675,61.2375,19.374999999999996,0.5
-1.061964,-0.23216522,47.28499999999999,20.375,0.5
-0.69701964,0.07980847,9.494999999999989,21.375,1.0
-0.64989257,0.015816405,4.264999999999993,22.375,1.0
-0.58600986,-0.04163599,4.077499999999992,23.375,0.5
-0.64300334,-0.06090513,3.9949999999999966,0.37499999999999983,0.0
-0.6286346,0.15058097,4.149999999999988,1.3749999999999998,0.0
-0.5417851,0.40742525,4.204999999999994,2.375,0.0
-0.37428832,0.69749403,4.177499999999991,3.375,0.0
-0.027278243,0.9390077,4.219999999999987,4.375,0.0
0.49952713,0.95156825,4.18749999999999,5.375,0.0
0.747555,0.79878956,4.1749999999999945,6.375000000000001,0.0
0.7227707,0.4815871,4.102499999999998,7.375,0.0
0.6075915,0.25903434,4.097499999999992,8.375,0.0
0.52418023,0.080617175,4.332499999999996,9.374999999999998,0.0
0.36504453,-0.077721775,4.1674999999999915,10.375000000000002,0.0
0.21618815,-0.18175524,3.665,11.375,0.0
0.03889499,-0.25655198,3.807499999999995,12.374999999999998,0.0
-0.17966692,-0.27355886,3.807499999999995,13.375,0.0
-0.40079987,-0.21546268,3.599999999999994,14.374999999999998,0.0
-0.61471283,-0.13436306,3.8099999999999916,15.374999999999998,0.0
-0.78901947,-0.085318,3.5899999999999936,16.375,0.0
-0.87868357,-0.04430273,3.5699999999999945,17.375,0.0
-0.8911017,-0.014147833,3.6449999999999867,18.375,0.0
-0.8700425,0.010141045,3.617499999999997,19.374999999999996,0.0
-0.8204826,0.023566216,3.6449999999999867,20.375,0.0
-0.7706574,0.031370103,3.822499999999988,21.375,0.0
-0.71704257,0.039973915,3.482499999999992,22.375,0.0
-0.67584455,0.0655867,3.3674999999999997,23.375,0.0
-0.6324028,0.12036721,3.3849999999999896,0.37499999999999983,0.0
-0.5679102,0.20535329,3.389999999999996,1.3749999999999998,0.0
-0.46566448,0.3137696,3.544999999999988,2.375,0.0
-0.32398582,0.42766288,3.4224999999999928,3.375,0.0
-0.13208874,0.51187134,3.509999999999995,4.375,0.0
0.08725097,0.5243741,3.454999999999989,5.375,0.0
0.26511255,0.4597116,3.4749999999999885,6.375000000000001,0.0
0.34119463,0.3391648,3.4924999999999917,7.375,0.0
0.32405135,0.18448797,3.4324999999999926,8.375,0.0
0.22168593,0.006267041,3.8774999999999946,9.374999999999998,0.0
0.061393745,-0.13865519,3.7249999999999996,10.375000000000002,0.0
-0.09346797,-0.23583192,3.6999999999999926,11.375,0.0
-0.25057423,-0.2742742,3.752499999999989,12.374999999999998,0.0
-0.40661007,-0.25238198,3.7549999999999986,13.375,0.0
-0.54802704,-0.19601262,3.894999999999998,14.374999999999998,0.0
-0.66982293,-0.13801059,3.744999999999999,15.374999999999998,0.0
-0.76740134,-0.091091454,3.7174999999999963,16.375,0.0
-0.8302529,-0.05414325,3.8699999999999912,17.375,0.0
-0.85395193,-0.027868941,3.5899999999999936,18.375,0.0
-0.84723777,-0.0043059886,3.7149999999999994,19.374999999999996,0.0
-0.80769235,0.009946793,3.852499999999988,20.375,0.0
-0.7677116,0.019901395,3.7799999999999923,21.375,0.0
-0.7162392,0.030540913,3.6624999999999894,22.375,0.0
-0.66954863,0.057625994,3.4849999999999883,23.375,0.0
-0.6435527,0.16785412,3.787499999999995,0.37499999999999983,0.0
-0.55833113,0.35230178,3.637499999999997,1.3749999999999998,0.0
-0.42357427,0.6168298,3.499999999999995,2.375,0.0
-0.20954332,0.90682256,3.5899999999999936,3.375,0.0
0.18179497,1.0888237,3.5824999999999907,4.375,0.0
0.7214774,1.0422735,3.5174999999999983,5.375,0.0
0.9205906,0.8922522,3.6349999999999865,6.375000000000001,0.0
0.9351491,0.54662913,4.742499999999992,7.375,0.0
0.8949262,0.08008599,67.14,8.375,0.0
0.7645438,-0.20416951,113.60000000000001,9.374999999999998,0.0
0.6978444,-0.63060236,122.63499999999999,10.375000000000002,1.0
0.17895323,-0.33099306,118.78999999999999,11.375,0.5
0.31955072,-0.43490684,36.809999999999995,12.374999999999998,0.5
0.39091069,-0.6724951,64.07,13.375,1.0
0.31825256,-0.75014335,104.355,14.374999999999998,1.0
0.2514314,-0.79371846,108.29500000000002,15.374999999999998,1.0
0.085644834,-0.7450724,107.19,16.375,1.0
-0.042075068,-0.5413049,92.8775,17.375,1.0
-0.162878,-0.43546307,90.95499999999998,18.375,0.5
-0.35951346,-0.47350502,109.8875,19.374999999999996,0.5
-0.7852938,-0.21648443,123.21000000000001,20.375,0.5
-0.5725463,0.085836604,30.209999999999994,21.375,1.0
-0.5905685,0.024682164,4.9224999999999905,22.375,1.0
-0.60756886,-0.09072757,4.687499999999999,23.375,0.5
-0.64275134,-0.059715986,4.6699999999999955,0.37499999999999983,0.0
-0.6176939,0.20546466,4.707499999999998,1.3749999999999998,0.0
-0.5421272,0.5336789,4.697499999999999,2.375,0.0
-0.40230876,0.8907887,4.7174999999999985,3.375,0.0
-0.09969171,1.1911922,4.699999999999995,4.375,0.0
0.5136542,1.2169906,4.677499999999999,5.375,0.0
0.9077591,1.0437496,4.509999999999997,6.375000000000001,0.0
0.9318577,0.6566895,5.2449999999999966,7.375,0.0
0.8809554,0.056683764,80.92,8.375,0.0
0.73075646,-0.13699701,122.535,9.374999999999998,0.0
0.758875,-0.61354953,121.815,10.375000000000002,1.0
0.28771675,-0.32503974,121.2675,11.375,0.5
0.4768555,-0.36138344,34.8025,12.374999999999998,0.5
0.6141771,-0.68095773,84.9675,13.375,1.0
0.48395634,-0.6907096,116.865,14.374999999999998,1.0
0.40857086,-0.74978405,93.7075,15.374999999999998,1.0
0.07004397,-0.8119434,116.6675,16.375,1.0
-0.26614136,-0.45623797,97.03,17.375,1.0
-0.3947462,-0.3518207,86.05250000000001,18.375,0.5
-0.59119505,-0.47958624,112.59,19.374999999999996,0.5
-1.0323439,-0.2342236,109.3575,20.375,0.5
-0.6635132,0.07703021,26.197499999999987,21.375,1.0
-0.6419519,-0.0021259785,4.7949999999999875,22.375,1.0
-0.55085313,-0.108332634,4.5975,23.375,0.5
-0.5680453,-0.0644058,4.562499999999993,0.37499999999999983,0.0
-0.5528201,0.20604241,4.582499999999993,1.3749999999999998,0.0
-0.47903204,0.54407465,4.589999999999997,2.375,0.0
-0.34920853,0.9131219,4.572499999999994,3.375,0.0
-0.032596894,1.2188209,4.562499999999993,4.375,0.0
0.60269177,1.2145833,4.569999999999997,5.375,0.0
0.921895,1.044482,4.537499999999987,6.375000000000001,0.0
0.924643,0.63949984,5.669999999999998,7.375,0.0
0.8692409,0.07107879,77.7425,8.375,0.0
0.73505235,-0.123441994,114.6625,9.374999999999998,0.0
0.74947065,-0.6149546,117.3125,10.375000000000002,1.0
0.27652442,-0.32507473,123.0025,11.375,0.5
0.415959,-0.37818402,38.63499999999999,12.374999999999998,0.5
0.49287117,-0.6872962,82.99,13.375,1.0
0.31529242,-0.7326829,117.38499999999999,14.374999999999998,1.0
0.18375471,-0.7520106,103.7,15.374999999999998,1.0
-0.07083497,-0.78090566,115.8375,16.375,1.0
-0.2672068,-0.4890048,118.215,17.375,1.0
-0.5401664,-0.21193328,39.410000000000004,18.375,0.5
-0.97763276,-0.20053443,5.172499999999986,19.374999999999996,0.5
-1.1401321,-0.22699434,5.067499999999995,20.375,0.5
-0.7912704,-0.04119581,5.087499999999995,21.375,1.0
-0.66306376,-0.06397933,4.832499999999991,22.375,1.0
-0.56458616,-0.09544808,4.5975,23.375,0.5
-0.5999803,-0.008529335,4.62499999999999,0.37499999999999983,0.0
-0.57578194,0.25886542,4.6274999999999995,1.3749999999999998,0.0
-0.5011875,0.5949547,4.589999999999997,2.375,0.0
-0.34340763,0.9563925,4.589999999999997,3.375,0.0
0.05828824,1.2256297,4.589999999999997,4.375,0.0
0.7505064,1.1785543,4.5875,5.375,0.0
0.97281057,1.0023813,4.517499999999988,6.375000000000001,0.0
0.9623494,0.5511966,5.1099999999999905,7.375,0.0
0.86994344,0.025144354,83.1425,8.375,0.0
0.7287632,-0.16637582,118.0525,9.374999999999998,0.0
0.6851026,-0.56449586,95.525,10.375000000000002,1.0
0.21100457,-0.2799159,75.4475,11.375,0.5
0.33170748,-0.34937108,29.95,12.374999999999998,0.5
0.43852526,-0.6723323,90.4225,13.375,1.0
0.27099574,-0.6990347,108.80000000000001,14.374999999999998,1.0
0.20246558,-0.7738324,128.84999999999997,15.374999999999998,1.0
-0.036009096,-0.68504906,96.1725,16.375,1.0
-0.193263,-0.51358145,105.03750000000002,17.375,1.0
-0.33785313,-0.3952462,95.02000000000001,18.375,0.5
-0.5794219,-0.46574676,116.34499999999998,19.374999999999996,0.5
-0.972395,-0.1657793,116.955,20.375,0.5
-0.7177136,0.10344389,22.0825,21.375,1.0
-0.7029169,0.007738307,4.914999999999999,22.375,1.0
-0.6398926,-0.10484892,4.697499999999999,23.375,0.5
-0.6659941,-0.024201065,4.682499999999992,0.37499999999999983,0.0
-0.6112574,0.26018426,4.754999999999988,1.3749999999999998,0.0
-0.5185629,0.5991168,4.779999999999995,2.375,0.0
-0.37862244,0.9539726,4.742499999999992,3.375,0.0
-0.06286051,1.251771,4.749999999999995,4.375,0.0
0.57629883,1.2780167,4.7599999999999945,5.375,0.0
1.0117146,1.0791979,4.744999999999988,6.375000000000001,0.0
1.0481651,0.6627568,5.302499999999998,7.375,0.0
0.97083783,0.086871095,68.175,8.375,0.0
0.8007345,-0.16244876,122.8325,9.374999999999998,0.0
0.76974666,-0.55728376,105.3625,10.375000000000002,1.0
0.32280752,-0.28960598,105.0475,11.375,0.5
0.47625542,-0.3578661,41.0925,12.374999999999998,0.5
0.5316319,-0.65901697,78.795,13.375,1.0
0.38079324,-0.7513368,120.6375,14.374999999999998,1.0
0.27291316,-0.80031264,119.74,15.374999999999998,1.0
0.0613096,-0.73906064,100.215,16.375,1.0
-0.1106767,-0.5125819,80.63,17.375,1.0
-0.24206038,-0.4333622,88.3075,18.375,0.5
-0.4635745,-0.46253407,107.445,19.374999999999996,0.5
-0.9231136,-0.17735368,100.9075,20.375,0.5
-0.65586746,0.10010737,14.212499999999997,21.375,1.0
-0.643689,0.011829123,4.929999999999992,22.375,1.0
-0.5903862,-0.07287279,4.697499999999999,23.375,0.5
-0.6369445,-0.09490618,4.642499999999992,0.37499999999999983,0.0
-0.6071269,0.13931555,4.659999999999996,1.3749999999999998,0.0
-0.5103491,0.4197572,4.727499999999998,2.375,0.0
-0.3413573,0.73538494,4.742499999999992,3.375,0.0
-0.013703989,1.0029595,4.744999999999988,4.375,0.0
0.52939296,1.0297868,4.752499999999991,5.375,0.0
0.8076688,0.879431,4.734999999999989,6.375000000000001,0.0
0.789399,0.53320897,5.2124999999999995,7.375,0.0
0.7530287,0.11829938,64.0425,8.375,0.0
0.6354673,-0.059907228,78.2625,9.374999999999998,0.0
0.6792394,-0.50485504,76.44500000000001,10.375000000000002,1.0
0.3649028,-0.1351609,100.72749999999999,11.375,0.5
0.5128206,-0.17991495,30.41999999999999,12.374999999999998,0.5
0.63227445,-0.41366446,60.84,13.375,1.0
0.5569842,-0.5536335,91.63,14.374999999999998,1.0
0.26759318,-0.7050717,95.6525,15.374999999999998,1.0
-0.2471991,-0.5331592,78.77,16.375,1.0
-0.328006,-0.21888238,24.369999999999994,17.375,1.0
-0.5444124,-0.20438498,4.984999999999999,18.375,0.5
-0.8008657,-0.21890974,5.002499999999989,19.374999999999996,0.5
-0.8601731,-0.11974716,5.022499999999989,20.375,0.5
-0.74383706,-0.0067805946,5.029999999999992,21.375,1.0
-0.64217937,-0.020953462,4.824999999999988,22.375,1.0
-0.60412437,-0.07058805,4.582499999999993,23.375,0.5
-0.6587419,-0.034792334,4.589999999999997,0.37499999999999983,0.0
-0.65889335,0.12574384,4.63499999999999,1.3749999999999998,0.0
-0.6153374,0.30040145,4.642499999999992,2.375,0.0
-0.4968776,0.47189385,4.659999999999996,3.375,0.0
-0.2682444,0.5729694,4.26749999999999,4.375,0.0
0.036730394,0.55024016,4.274999999999993,5.375,0.0
0.23877725,0.45920956,4.347499999999989,6.375000000000001,0.0
0.32128364,0.30664468,4.182499999999998,7.375,0.0
0.3334914,0.12209059,12.859999999999998,8.375,0.0
0.22585176,-0.036768153,9.502499999999992,9.374999999999998,0.0
0.2306351,-0.4005726,14.487499999999999,10.375000000000002,1.0
-0.013561944,-0.18171352,13.552499999999988,11.375,0.5
-0.020949246,-0.22583315,5.6874999999999885,12.374999999999998,0.5
0.018567687,-0.38027894,22.12999999999999,13.375,1.0
-0.043375768,-0.40216815,29.34999999999999,14.374999999999998,1.0
-0.1537636,-0.4144107,33.75,15.374999999999998,1.0
-0.30883756,-0.30878645,33.8575,16.375,1.0
-0.41356197,-0.14682603,5.182499999999999,17.375,1.0
-0.52086276,-0.15929773,4.867499999999997,18.375,0.5
-0.6296444,-0.11334467,4.949999999999992,19.374999999999996,0.5
-0.6698108,-0.058733344,4.967499999999996,20.375,0.5
-0.63435996,0.012311012,4.967499999999996,21.375,1.0
-0.576811,-0.0137441605,4.732499999999992,22.375,1.0
-0.5873614,-0.06891668,4.55499999999999,23.375,0.5
-0.6279226,0.023750216,4.607499999999999,0.37499999999999983,0.0
-0.60694677,0.20880274,4.599999999999996,1.3749999999999998,0.0
-0.5398446,0.4407246,4.607499999999999,2.375,0.0
-0.37820205,0.7120298,4.63499999999999,3.375,0.0
-0.027742157,0.9225695,4.607499999999999,4.375,0.0
0.53767616,0.9131971,4.427499999999989,5.375,0.0
0.8104867,0.76857734,4.852499999999989,6.375000000000001,0.0
0.8272466,0.43466794,5.519999999999987,7.375,0.0
0.7502909,0.042451546,52.747499999999995,8.375,0.0
0.62791264,-0.17483544,88.35249999999999,9.374999999999998,0.0
0.6191319,-0.5466809,96.8475,10.375000000000002,1.0
0.16553539,-0.29526073,93.3825,11.375,0.5
0.34714144,-0.40777135,43.982499999999995,12.374999999999998,0.5
0.4883475,-0.69829315,95.74000000000001,13.375,1.0
0.33522296,-0.6552379,84.83250000000001,14.374999999999998,1.0
0.31578603,-0.68328434,57.835,15.374999999999998,1.0
0.16121152,-0.6808965,58.8425,16.375,1.0
-0.017296562,-0.45768243,54.91,17.375,1.0
-0.14869438,-0.38081914,60.3475,18.375,0.5
-0.37550673,-0.3613522,71.1725,19.374999999999996,0.5
-0.6265249,-0.12301457,69.25499999999998,20.375,0.5
-0.51946795,0.08965562,16.494999999999994,21.375,1.0
-0.4861083,0.031764403,4.907499999999996,22.375,1.0
-0.46064225,-0.029959902,4.652499999999992,23.375,0.5
-0.4809996,0.015234649,4.63499999999999,0.37499999999999983,0.0
-0.47146845,0.2416197,4.632499999999993,1.3749999999999998,0.0
-0.41565657,0.515793,4.632499999999993,2.375,0.0
-0.27023384,0.8187763,4.644999999999989,3.375,0.0
0.09185011,1.0420423,4.632499999999993,4.375,0.0
0.669019,1.0119463,4.599999999999996,5.375,0.0
0.86817515,0.845222,4.607499999999999,6.375000000000001,0.0
0.83903074,0.46124873,5.324999999999995,7.375,0.0
0.75226676,0.0693073,51.974999999999994,8.375,0.0
0.66964185,-0.15039235,91.0875,9.374999999999998,0.0
0.6045705,-0.54476917,81.50999999999999,10.375000000000002,1.0
0.15728346,-0.2927034,83.14,11.375,0.5
0.2577625,-0.3645689,31.74249999999999,12.374999999999998,0.5
0.34456828,-0.6149272,66.22999999999999,13.375,1.0
0.21801578,-0.639969,79.3375,14.374999999999998,1.0
0.11610623,-0.6687989,77.3925,15.374999999999998,1.0
-0.11487774,-0.62856483,75.84999999999998,16.375,1.0
-0.29880428,-0.38315392,81.9275,17.375,1.0
-0.44834653,-0.28551665,63.35249999999999,18.375,0.5
-0.69225323,-0.34172535,81.695,19.374999999999996,0.5
-0.91007674,-0.10591021,87.82249999999999,20.375,0.5
-0.7073338,0.10396376,20.887499999999996,21.375,1.0
-0.66900015,0.01633218,4.904999999999999,22.375,1.0
-0.62757385,-0.07453784,4.6149999999999896,23.375,0.5
