step,mean_abs_attr
0,3.4040645e-10
1,1.9366686e-10
2,1.8170648e-10
3,3.3611616e-10
4,4.0258227e-10
5,2.9195718e-10
6,1.3888124e-10
7,3.8131392e-10
8,4.663935e-10
9,4.0545484e-10
10,2.038016e-10
11,3.0025898e-10
12,4.6699566e-10
13,4.5763002e-10
14,2.7288502e-10
15,2.1478486e-10
16,4.366672e-10
17,4.933505e-10
18,3.897919e-10
19,1.6825577e-10
20,4.098873e-10
21,5.62202e-10
22,5.265187e-10
23,2.8059066e-10
24,3.7201486e-10
25,6.1339495e-10
26,6.281405e-10
27,4.141995e-10
28,2.2103301e-10
29,6.0388505e-10
30,7.2478257e-10
31,6.2792105e-10
32,2.7990527e-10
33,5.7027666e-10
34,8.6975216e-10
35,8.1131046e-10
36,4.6741905e-10
37,4.074674e-10
38,7.61899e-10
39,8.468876e-10
40,6.0719835e-10
41,3.2126843e-10
42,7.95868e-10
43,9.761293e-10
44,8.371188e-10
45,4.1244666e-10
46,6.662324e-10
47,1.0398467e-09
48,1.0355896e-09
49,6.355626e-10
50,5.2560883e-10
51,1.0596267e-09
52,1.1949511e-09
53,9.049771e-10
54,4.0283665e-10
55,9.848373e-10
56,1.3854294e-09
57,1.2783351e-09
58,6.6530526e-10
59,8.696473e-10
60,1.500009e-09
61,1.5236605e-09
62,9.567798e-10
63,5.5070026e-10
64,1.3687548e-09
65,1.6468038e-09
66,1.2832138e-09
67,6.0316585e-10
68,1.2644852e-09
69,1.7580092e-09
70,1.6334575e-09
71,9.0060814e-10
72,9.313113e-10
73,1.7917801e-09
74,1.9226833e-09
75,1.3256108e-09
76,6.2926775e-10
77,1.6408345e-09
78,2.0342694e-09
79,1.7767257e-09
80,8.916471e-10
81,1.2883973e-09
82,2.0322415e-09
83,2.017748e-09
84,1.32404e-09
85,9.329775e-10
86,1.8027968e-09
87,2.0674942e-09
88,1.7667444e-09
89,8.913423e-10
90,1.7487967e-09
91,2.3316484e-09
92,2.2507904e-09
93,1.3187368e-09
94,1.5203984e-09
95,2.4871813e-09
96,2.6104827e-09
97,1.966359e-09
98,1.0348571e-09
99,2.3228162e-09
100,2.8272262e-09
101,2.461905e-09
102,1.1688737e-09
103,2.1337212e-09
104,3.1122998e-09
105,3.1061405e-09
106,2.0016704e-09
107,1.4583547e-09
108,3.00744e-09
109,3.2758773e-09
110,2.4524223e-09
111,1.0933139e-09
112,2.6153786e-09
113,3.4232301e-09
114,3.1488026e-09
115,1.6633454e-09
116,2.391138e-09
117,3.763758e-09
118,3.877342e-09
119,2.6461426e-09
120,1.7240757e-09
121,3.7940593e-09
122,4.3350723e-09
123,3.4158418e-09
124,1.5169409e-09
125,3.5207097e-09
126,4.671615e-09
127,4.6706568e-09
128,2.7829223e-09
129,2.8002836e-09
130,5.2964095e-09
131,5.5398344e-09
132,3.939771e-09
133,1.8865294e-09
134,4.292081e-09
135,5.2022675e-09
136,4.5816693e-09
137,2.4552869e-09
138,4.014493e-09
139,5.68195e-09
140,5.7021325e-09
141,3.6362047e-09
142,3.119227e-09
143,5.9304566e-09
144,6.4906565e-09
145,5.126788e-09
146,2.4147717e-09
147,5.432727e-09
148,6.9402106e-09
149,6.3086203e-09
150,3.3535212e-09
151,4.6979522e-09
152,7.654792e-09
153,7.942065e-09
154,5.6853793e-09
155,3.0658505e-09
156,7.0981594e-09
157,7.985337e-09
158,6.3537393e-09
159,3.043213e-09
160,5.8437886e-09
161,8.2340765e-09
162,7.923297e-09
163,4.687163e-09
164,5.0903894e-09
165,8.827749e-09
166,9.383543e-09
167,6.9668173e-09
168,3.5458456e-09
169,8.561534e-09
170,1.0142709e-08
171,8.45958e-09
172,3.8935104e-09
173,7.4147755e-09
174,1.0696079e-08
175,1.1138605e-08
176,7.109145e-09
177,5.319612e-09
178,1.1797814e-08
179,1.2974217e-08
180,9.792027e-09
181,4.0407273e-09
182,9.11525e-09
183,1.1863093e-08
184,1.1030597e-08
185,6.1071765e-09
186,7.96057e-09
187,1.2891808e-08
188,1.368366e-08
189,9.135471e-09
190,5.9503713e-09
191,1.3353668e-08
192,1.5446613e-08
193,1.27715865e-08
194,5.646817e-09
195,1.2099503e-08
196,1.6920868e-08
197,1.6048757e-08
198,8.6693985e-09
199,1.0243951e-08
200,1.8675546e-08
201,2.0195431e-08
202,1.4629663e-08
203,7.0674795e-09
204,1.7925453e-08
205,2.1142595e-08
206,1.6869672e-08
207,8.274316e-09
208,1.5216218e-08
209,2.293477e-08
210,2.1893301e-08
211,1.2054903e-08
212,1.2773508e-08
213,2.4626232e-08
214,2.6467848e-08
215,1.8756278e-08
216,9.230612e-09
217,2.3670783e-08
218,2.9564294e-08
219,2.4083068e-08
220,1.1472101e-08
221,2.095699e-08
222,3.206059e-08
223,3.2167854e-08
224,1.983934e-08
225,1.52067e-08
226,3.5673875e-08
227,4.0325457e-08
228,2.9424376e-08
229,1.3570475e-08
230,3.1207612e-08
231,4.105305e-08
232,3.5126767e-08
233,1.8137062e-08
234,2.56584e-08
235,4.2684658e-08
236,4.33144e-08
237,2.7113183e-08
238,1.8090216e-08
239,4.225388e-08
240,4.9228483e-08
241,3.8727208e-08
242,1.809767e-08
243,3.7006735e-08
244,5.172194e-08
245,4.777566e-08
246,2.6693408e-08
247,2.7857515e-08
248,5.185114e-08
249,5.3926282e-08
250,3.9942105e-08
251,2.0395854e-08
252,4.547419e-08
253,5.3874498e-08
254,4.664892e-08
255,2.7862649e-08
256,3.751203e-08
257,5.7481223e-08
258,5.9167697e-08
259,4.044375e-08
260,3.14408e-08
261,6.141707e-08
262,6.80934e-08
263,5.5593926e-08
264,2.9133975e-08
265,5.804595e-08
266,7.326762e-08
267,6.525811e-08
268,3.7104925e-08
269,4.8030536e-08
270,7.6243715e-08
271,8.329185e-08
272,6.0325235e-08
273,3.1708595e-08
274,7.876916e-08
275,9.3430685e-08
276,7.765108e-08
277,3.78522e-08
278,5.976921e-08
279,8.554443e-08
280,8.459534e-08
281,5.483792e-08
282,4.904634e-08
283,9.000185e-08
284,1.0166883e-07
285,7.632056e-08
286,4.0480984e-08
287,8.942599e-08
288,1.0958873e-07
289,9.974698e-08
290,5.1609142e-08
291,7.389342e-08
292,1.1475457e-07
293,1.1887619e-07
294,7.725121e-08
295,5.6193727e-08
296,1.2233656e-07
297,1.426168e-07
298,1.2138652e-07
299,5.4549872e-08
300,1.0805019e-07
301,1.4065706e-07
302,1.2716235e-07
303,7.555095e-08
304,8.108975e-08
305,1.4127616e-07
306,1.5086952e-07
307,1.0677138e-07
308,6.723118e-08
309,1.4528634e-07
310,1.7042115e-07
311,1.4590451e-07
312,7.189789e-08
313,1.3123389e-07
314,1.8181748e-07
315,1.6695131e-07
316,9.8376255e-08
317,9.720901e-08
318,1.8109904e-07
319,2.102432e-07
320,1.5704755e-07
321,6.719869e-08
322,1.8301407e-07
323,2.3457491e-07
324,2.041622e-07
325,1.032805e-07
326,1.3102293e-07
327,2.1007995e-07
328,2.1811618e-07
329,1.4681807e-07
330,1.0392614e-07
331,2.1779769e-07
332,2.56672e-07
333,2.0115301e-07
334,9.698226e-08
335,2.0243525e-07
336,2.7373514e-07
337,2.5993288e-07
338,1.4082913e-07
339,1.6730968e-07
340,2.8853816e-07
341,3.0925125e-07
342,2.1476153e-07
343,1.223823e-07
344,2.8887976e-07
345,3.5976106e-07
346,3.226522e-07
347,1.4978261e-07
348,2.4669447e-07
349,3.4858837e-07
350,3.3126648e-07
351,2.1429386e-07
