step,mean_abs_attr
0,1.1572403e-13
1,1.465711e-13
2,1.8994249e-13
3,2.2894693e-13
4,2.7200827e-13
5,3.2661412e-13
6,3.9152465e-13
7,4.618133e-13
8,5.2367583e-13
9,5.661772e-13
10,5.951801e-13
11,6.1574763e-13
12,6.2198586e-13
13,6.0055834e-13
14,5.555725e-13
15,4.943653e-13
16,4.2738865e-13
17,3.7813258e-13
18,3.3124558e-13
19,3.34019e-13
20,4.0390862e-13
21,5.316636e-13
22,7.037107e-13
23,8.9053775e-13
24,1.0923428e-12
25,1.2474231e-12
26,1.3799543e-12
27,1.4733577e-12
28,1.5627537e-12
29,1.6130918e-12
30,1.5800503e-12
31,1.5245456e-12
32,1.4028929e-12
33,1.208282e-12
34,1.0393093e-12
35,8.5979e-13
36,6.9181276e-13
37,7.8499994e-13
38,1.0839403e-12
39,1.5416542e-12
40,2.104387e-12
41,2.6569732e-12
42,3.2186573e-12
43,3.7311946e-12
44,4.1516976e-12
45,4.414829e-12
46,4.486308e-12
47,4.614858e-12
48,4.5616354e-12
49,4.2182967e-12
50,4.0081926e-12
51,3.5984757e-12
52,3.3578546e-12
53,3.5448873e-12
54,3.6369046e-12
55,3.924764e-12
56,4.695208e-12
57,5.667359e-12
58,6.57994e-12
59,7.788945e-12
60,9.8204726e-12
61,1.1601909e-11
62,1.3827201e-11
63,1.5693993e-11
64,1.7540937e-11
65,1.8770756e-11
66,1.9710322e-11
67,1.9488878e-11
68,1.8135627e-11
69,1.5857485e-11
70,1.3656139e-11
71,1.298129e-11
72,1.2932484e-11
73,1.4111087e-11
74,1.7273974e-11
75,2.1081182e-11
76,2.6759202e-11
77,3.245213e-11
78,4.0130718e-11
79,4.6799294e-11
80,5.195818e-11
81,5.5931565e-11
82,5.7247828e-11
83,5.848959e-11
84,5.9626325e-11
85,5.7576843e-11
86,5.3282174e-11
87,4.708179e-11
88,4.3105543e-11
89,3.8539012e-11
90,3.3582664e-11
91,3.2311175e-11
92,3.8467403e-11
93,4.870355e-11
94,6.226969e-11
95,8.2094276e-11
96,1.0248409e-10
97,1.2015647e-10
98,1.3583465e-10
99,1.4493542e-10
100,1.5331855e-10
101,1.6170816e-10
102,1.665977e-10
103,1.6342913e-10
104,1.5535354e-10
105,1.4411418e-10
106,1.2911736e-10
107,1.1515883e-10
108,1.0414238e-10
109,9.438946e-11
110,9.3913745e-11
111,1.2341857e-10
112,1.6953494e-10
113,2.3106361e-10
114,2.998263e-10
115,3.6134187e-10
116,4.1167936e-10
117,4.513176e-10
118,4.7801574e-10
119,5.041939e-10
120,5.128854e-10
121,4.8903487e-10
122,4.4915796e-10
123,4.1590517e-10
124,3.857495e-10
125,3.5413425e-10
126,3.3340805e-10
127,3.4731334e-10
128,4.2915813e-10
129,5.5225613e-10
130,7.030087e-10
131,8.7044505e-10
132,1.0527305e-09
133,1.2163126e-09
134,1.3741106e-09
135,1.5183593e-09
136,1.6413763e-09
137,1.7296026e-09
138,1.7005075e-09
