model,window,rmse_kwh,mae_kwh,r2,wia
single,1,11.377288777265134,6.557832983181824,0.8689226859535684,0.9651041085038623
single,4,9.89267752713983,5.111404548836017,0.9009070900531664,0.975377004704687
single,8,8.5550150668076,4.510562081575092,0.9258994807794401,0.9808177771841575
single,16,8.328125013700285,4.140052614521536,0.9297835857134358,0.9813481676621503
single,24,8.635576463016045,4.362383896578877,0.9245158946002547,0.9802203058330444
single,48,8.65990185840065,4.355565454036716,0.924121205206822,0.9800695497660843
single,64,8.40647583102073,4.267126361384712,0.9285171989697762,0.9810821365162365
single,96,8.330166056125769,4.444385875075258,0.9298518618116671,0.981527791895822
single,672,8.679887241525387,4.280801439504221,0.9245096851947474,0.9793487076610347
double,1,10.988673040714838,5.681351097821536,0.8777242110704073,0.9671711549128716
double,4,8.806201175565143,4.319727898296672,0.9214778681407494,0.9783989673484405
double,8,9.690300198418768,5.043111113161708,0.9049276658877752,0.9771913241295069
double,16,8.55774543071931,4.363130725779789,0.9258582380255844,0.9812700840274535
double,24,8.437483629175103,4.575733854750402,0.9279392578037075,0.9810072223500468
double,48,8.600725571344165,4.452239177049412,0.9251546773492663,0.9807792004503839
double,64,8.517513761783418,4.362205642030006,0.9266163494650551,0.980845308099684
double,96,8.510516026715697,4.3351245323720216,0.9267815351468944,0.9809342437199196
double,672,8.689901432678674,4.425288777347095,0.9243353947887942,0.9801746430481613
bidir,1,11.175203658951625,5.882074603960276,0.873537761869855,0.966597713833445
bidir,4,8.891034446462635,4.520548269456028,0.9199577178658347,0.9790780033731661
bidir,8,8.776986120705605,4.62384527988189,0.9220043257479915,0.9794821377112436
bidir,16,8.708258772818807,4.731680271292904,0.9232272975779711,0.9808322131835656
bidir,24,8.392686699931014,4.480693704838527,0.9287024072625063,0.9817615186332949
bidir,48,8.668144319293631,4.725965796296266,0.9239766941837437,0.9798774512105058
bidir,64,8.758785824625374,4.531813755270812,0.9224000505919767,0.9795874594872587
bidir,96,8.483077920693828,4.997173844196233,0.9272528902332146,0.9797810441718988
bidir,672,8.492432586818309,4.4974923171512655,0.9277351199924014,0.9810097543683476
