model,window,rmse_kwh,mae_kwh,r2,wia
single,1,12.825734825084943,7.930522935066395,0.8130560264349833,0.9478813062216638
single,4,10.561790730469163,5.984311151578716,0.8732283704533224,0.9675142726573058
single,8,10.604561087552213,6.027580487580076,0.8722362685487525,0.9677975040809215
single,12,10.220853739338711,6.199652256189145,0.8813861529445062,0.9671964878817743
single,16,9.892487885801888,5.408061298295795,0.8889225352810155,0.9709444505585181
single,24,9.620156415743311,5.7035145733300165,0.8949948198894776,0.9731552141379316
single,36,8.843523074298112,5.040503765111357,0.9113360114214538,0.9766486740785902
single,48,9.542381447598174,5.456071082426245,0.8968772684891095,0.9739208939692453
single,74,9.516976182028191,5.176532183474817,0.8975800674888794,0.9707683856810833
single,168,9.89334036370045,5.833838662032975,0.8898618997979085,0.971425364297856
single,336,10.456098287181536,5.729593817480669,0.8753173059362073,0.9654086543944227
single,672,11.022843590135155,6.460090670936951,0.860016885741191,0.9636475786214073
double,1,12.45443895336162,7.727845681832871,0.8237231452380884,0.9551499498530924
double,4,9.22236529059562,5.208843629013395,0.9033433815849621,0.9738076014049322
double,8,9.701694814221717,5.3351347304216645,0.8930656069615729,0.9723673834889168
double,12,9.662589908165234,5.135384210517293,0.8939896811928936,0.9724466478561689
double,16,11.065124684670236,5.892669000158317,0.8610279293285332,0.9639380331521649
double,24,9.457634950861003,5.375090002298511,0.8985127343945154,0.973526422886256
double,36,10.0546159838025,5.676901076972262,0.8853886536840277,0.968417405286188
double,48,9.738184640934529,5.506932857477002,0.8926018324552591,0.9712562930299892
double,74,9.391476241789967,5.168578639528536,0.9002634712531054,0.9743041445830765
double,168,9.96436864984979,5.672532897329641,0.8882747710504184,0.971732298423226
double,336,8.987191769155691,5.135001158765767,0.9078882822525389,0.9748431842049775
double,672,11.758110385327663,6.802234269488745,0.8407192003676592,0.9593683062226993
bidir,1,13.030761622708605,8.030967234222594,0.8070314396820925,0.9486267122016108
bidir,4,10.702414105802388,6.4817799527674556,0.8698301337868559,0.9660948748577531
bidir,8,9.553262685359131,5.285351369269925,0.8963126845901556,0.9726516346420062
bidir,12,10.35303680818296,5.5797273282125595,0.878298323528013,0.9673808018820672
bidir,16,10.57299456502605,5.978683296157122,0.8731148134961664,0.9656749022589549
bidir,24,9.632122106186909,5.624417007949088,0.8947334434986727,0.9729006992971974
bidir,36,9.209153185611994,5.217579278849578,0.9038529348997605,0.9750989126457902
bidir,48,9.022992267554896,5.226781430490829,0.9077976410711193,0.9760219236205827
bidir,74,9.103183282821165,5.268051793757027,0.9062927712974155,0.9746707647027836
bidir,168,9.42589852202524,5.333011270362448,0.9000236678337609,0.9726733343598016
bidir,336,12.146334971539336,7.202685992617994,0.831749109457234,0.9548490901560441
bidir,672,10.576095318745129,5.986994009161201,0.8711337846920028,0.9651162400369344
