Window Size,Single_RMSE,Single_MAE,Single_R2,Single_WIA,Double_RMSE,Double_MAE,Double_R2,Double_WIA,Bidirectional_RMSE,Bidirectional_MAE,Bidirectional_R2,Bidirectional_WIA
win1,0.13662777681240074,0.09164987289407851,0.825853393759794,0.9526950624257583,0.1313747688284214,0.08808305592246124,0.8389870000217694,0.9564155586468035,0.13470975603469218,0.0878714061256582,0.8307085162530272,0.954908353091941
win4,0.09751384834319662,0.05849162804245386,0.9112906076894035,0.9781275464859196,0.09452401548184944,0.05402651774544242,0.9166469804082342,0.9791401147976604,0.09773648515623053,0.0569624244155315,0.9108850750884443,0.977332883363291
win8,0.09061782444820189,0.051983597414744356,0.9234011767395707,0.9807827715834494,0.09758255099771762,0.05582109542377493,0.9111741914347182,0.9772980595655436,0.09850231197877835,0.05701220509468843,0.9094918509905949,0.9784226216519308
win12,0.09137067206983082,0.0532548906157319,0.9221418242833924,0.9804307916870441,0.09195180632362873,0.05286398406141379,0.9211482901783783,0.9792536771500244,0.09031589321394787,0.05228215360183817,0.9239290311117624,0.9800646678957641
win16,0.09912533848275087,0.05897372474659511,0.9083563917647409,0.9759491466083845,0.09436852385566846,0.0559214355959437,0.9169409160675905,0.9788844034018386,0.09663400758292531,0.05421042642763892,0.9129050858874209,0.978103140540874
win24,0.0975863442202051,0.05642922978134121,0.9111752162367976,0.9775579308447312,0.08897290046290587,0.05160631381472675,0.9261634224076917,0.9806302214968162,0.09166309529212475,0.0569905953640484,0.9216308568694749,0.978907228942431
win36,0.09278115463561647,0.0540239554530466,0.9197498647515442,0.9794473257704239,0.09464990959173247,0.05584325450083744,0.9164845868001115,0.9779867760667065,0.09063364708133934,0.054212882574464764,0.9234218024851527,0.9799880961894827
win48,0.09162534321327553,0.05617498210919659,0.9217622442451388,0.979151584595877,0.08853406648813832,0.05261593583945149,0.9269523952014963,0.980627082761861,0.09922255086040589,0.06111485201901707,0.9082500299539251,0.9757349225294268
win74,0.09962304046873025,0.06523366508019053,0.9075553329001828,0.9751731353295275,0.09547962026383677,0.05868018362655171,0.9150851503982232,0.9778684136478124,0.08943259011701234,0.057721938492383766,0.9255004076755923,0.9796760742745992
win168,0.09863395876020113,0.05968916926324759,0.9095062782375347,0.9759855006918514,0.08811280908011365,0.05196650708623029,0.9277823062269276,0.9809935129808193,0.09165705669843793,0.05710528226796933,0.9218556945579248,0.9788539798287204
win336,0.10173911506998669,0.06360402878418889,0.903065374281272,0.9735941319570929,0.10139709674191281,0.06065990711966883,0.90371601277675,0.9742180480481624,0.11268950166801336,0.07035928673870795,0.8810758809792597,0.9682953459554494
win672,0.10247512763117154,0.06146841185072447,0.900989436357488,0.973930912453273,0.10150300493973745,0.05598347719303266,0.9028590388963967,0.9759597708211191,0.09575244929670022,0.05943822690975465,0.9135541038800676,0.977279053252076
