Window Size,Single_RMSE,Single_MAE,Single_R2,Single_WIA,Double_RMSE,Double_MAE,Double_R2,Double_WIA,Bidirectional_RMSE,Bidirectional_MAE,Bidirectional_R2,Bidirectional_WIA
win1,0.10623500398190519,0.07165042763409607,0.763333070036947,0.9343813329815706,0.10210482460854461,0.06362409723075503,0.7813775145075308,0.941856715457685,0.10567019485244657,0.06811624093393506,0.7658429076289244,0.9357618668776244
win4,0.08517521211627178,0.05573533735058573,0.8478651370082078,0.9588990035541826,0.07709740887431643,0.045139991935257744,0.8753529901240816,0.9672375071927698,0.07917552084711237,0.04802930990879129,0.8685428664519599,0.9640817230608656
win8,0.08479209553471914,0.05016533128864064,0.8492739661378879,0.9644238028454142,0.08078735301402108,0.04532820716071788,0.8631753669519308,0.9658962456629235,0.07699526989047557,0.044538968944756376,0.8757187462327459,0.968134286809319
win12,0.08075505034401823,0.04607362307238575,0.8633669469304202,0.9642914142755643,0.07484116441808296,0.040413298237490264,0.8826461180892126,0.9702347868582802,0.07346966807468419,0.04309905061775661,0.8869078282998142,0.9700649295325237
win16,0.08151843331090435,0.04815823230367413,0.8608183768346539,0.9646989250282427,0.0822232286542113,0.04975776126215967,0.8584012888013982,0.9632314802910302,0.07398479282868743,0.04590858893423921,0.8853549858597474,0.9699530830284274
win24,0.07591865382875396,0.045171772847764996,0.8793301428706753,0.9674569599338585,0.07996700880006005,0.04629012133194779,0.8661175954133081,0.966701546595667,0.06742358499067774,0.03811911342071167,0.9048244308318227,0.9744324282176732
win36,0.07674393138106743,0.04449610495614945,0.876791670970239,0.9675717969833246,0.0839684838353072,0.0465338490798555,0.852502518684271,0.9638277377840089,0.07421633918399298,0.04284314609188319,0.8847738534676031,0.9706072247049419
win48,0.07631032405498558,0.04639768805814442,0.8783077835500845,0.9677843733812097,0.06898252340776814,0.039748210087052475,0.9005569674992226,0.9738950949209026,0.07042044348704235,0.042183949367010594,0.8963680387748885,0.9722589405810439
win74,0.07206981146398687,0.04234131331486417,0.8916201274314579,0.9716001152599075,0.07312193752980617,0.043209193253651475,0.8884326172465594,0.9710399336493484,0.07333369752964208,0.0457045531414367,0.8877854867325976,0.9705704506859734
win168,0.07312684903772065,0.04336920002521346,0.8889647832595777,0.9704760384201196,0.07885546943062162,0.04834832055154557,0.8708867936013458,0.9662153283583436,0.07730194136042023,0.045619791415700744,0.8759239881867258,0.9656483480287625
win336,0.08420522813915578,0.04838274002343605,0.8507891786646286,0.9597096538929696,0.0797032098127349,0.04548905608330822,0.8663177241077624,0.9653127722198889,0.07861984472509669,0.046716925208086936,0.8699271755480111,0.9651910947707426
win672,0.0857818111547866,0.04982028781017621,0.8435649274585975,0.9583613503859065,0.08393040437098967,0.04857892532345906,0.8502446536194432,0.9608491102051785,0.08173033161799612,0.04857422255454705,0.8579928449049363,0.960130777509154
